12.24,318
26.53,318
40.83,318
55.13,318
69.43,318
83.74,318
98.06,318
12.24,302
26.53,302
40.83,302
55.13,302
69.43,302
83.74,302
98.06,302
12.24,286
26.53,286
40.83,286
55.13,286
69.43,286
83.74,286
98.06,286
12.24,270
26.53,270
40.83,270
55.13,270
69.43,270
83.74,270
98.06,270
12.24,254
26.53,254
40.83,254
55.13,254
69.43,254
83.74,254
83.74,254
98.06,254
12.24,238
26.53,238
40.83,238
55.13,238
69.43,238
83.74,238
98.06,238
12.24,222
26.53,222
40.83,222
55.13,222
69.43,222
83.74,222
98.06,222
12.24,206
26.53,206
40.83,206
55.13,206
69.43,206
83.74,206
98.06,206
12.24,190
26.53,190
40.83,190
55.13,190
69.43,190
83.74,190
98.06,190
12.24,174
26.53,174
40.83,174
55.13,174
69.43,174
83.74,174
98.06,174
13.63,157.71
28.17,156.93
42.69,156.64
57.12,157.09
71.75,156.76
16.65,141.35
86.53,156.31
31.77,139.87
101.15,156.99
46.77,139.37
61.46,140.32
21.28,125.37
76.84,139.82
37.27,123.32
53.02,122.77
27.47,109.93
92.64,139.18
68.08,124.32
44.61,107.51
107.85,140.73
35.15,95.18
84.55,123.90
61.32,107.09
76.85,109.39
53.70,92.63
101.86,123.50
44.26,81.26
71.56,92.59
94.70,109.42
117.86,126.27
64.42,78.88
54.70,68.30
87.60,95.81
83.55,79.51
113.86,109.83
66.37,56.45
76.63,66.43
107.03,96.74
100.12,83.85
79.16,45.81
130.72,114.28
97.11,68.06
90.17,55.44
128.22,98.65
121.22,86.18
114.18,73.73
92.94,36.49
104.87,46.06
112.01,58.43
107.57,28.57
145.84,105.30
129.49,65.66
136.91,78.02
120.54,38.41
128.02,50.78
144.42,90.38
122.91,22.15
136.97,32.58
145.78,59.77
144.87,45.22
138.82,17.27
153.70,72.46
162.52,99.74
161.89,85.29
153.96,28.65
155.13,14.00
162.72,56.20
162.29,41.84
171.16,69.64
171.28,26.68
171.68,12.35
180.00,40.71
180.00,55.00
180.00,83.57
180.00,97.86
188.32,12.35
188.72,26.68
188.84,69.64
197.71,41.84
197.28,56.20
204.87,14.00
206.04,28.65
198.11,85.29
197.48,99.74
206.30,72.46
221.18,17.27
215.13,45.22
214.22,59.77
223.03,32.58
237.09,22.15
215.58,90.38
231.98,50.78
239.46,38.41
223.09,78.02
230.51,65.66
214.16,105.30
252.43,28.57
247.99,58.43
255.13,46.06
267.06,36.49
245.82,73.73
238.78,86.18
231.78,98.65
269.83,55.44
262.89,68.06
229.28,114.28
280.84,45.81
259.88,83.85
252.97,96.74
283.37,66.43
293.63,56.45
246.14,109.83
276.45,79.51
272.40,95.81
305.30,68.30
295.58,78.88
242.14,126.27
265.30,109.42
288.44,92.59
315.74,81.26
258.14,123.50
306.30,92.63
283.15,109.39
298.68,107.09
275.45,123.90
324.85,95.18
252.15,140.73
315.39,107.51
291.92,124.32
267.36,139.18
332.53,109.93
306.98,122.77
322.73,123.32
283.16,139.82
338.72,125.37
298.54,140.32
313.23,139.37
258.85,156.99
328.23,139.87
273.47,156.31
343.35,141.35
288.25,156.76
302.88,157.09
317.31,156.64
331.83,156.93
346.37,157.71
261.94,174
276.26,174
290.57,174
304.87,174
319.17,174
333.47,174
347.76,174
261.94,190
276.26,190
290.57,190
304.87,190
319.17,190
333.47,190
347.76,190
261.94,206
276.26,206
290.57,206
304.87,206
319.17,206
333.47,206
347.76,206
261.94,222
276.26,222
290.57,222
304.87,222
319.17,222
333.47,222
347.76,222
261.94,238
276.26,238
290.57,238
304.87,238
319.17,238
333.47,238
347.76,238
261.94,254
276.26,254
290.57,254
304.87,254
319.17,254
333.47,254
347.76,254
261.94,270
276.26,270
290.57,270
304.87,270
319.17,270
333.47,270
347.76,270
261.94,286
276.26,286
290.57,286
304.87,286
319.17,286
333.47,286
347.76,286
261.94,302
276.26,302
290.57,302
304.87,302
319.17,302
333.47,302
347.76,302
261.94,318
276.26,318
290.57,318
304.87,318
319.17,318
333.47,318
347.76,318
